"Name","_wandb","val/image_to_text_R@10","val/text_to_image_R@10"
"SentVec default","","0.6546146527117032","0.6681731684110371"
"SentVec (full)","","0.64581351094196","0.659372026641294"
"Sentvec (full)","","0.6460513796384396","0.6586584205518554"
"SentVec prepro","","0.6108468125594672","0.6253568030447193"
"Sent2vec chunked (full)","","0.532825880114177","0.5432921027592769"
"GPT-2 chunked meanpooler prepro2","","0.5152235965746907","0.5176022835394862"
"GPT-2 chunked meanpooler prepro","","0.5085632730732635","0.5073739295908658"
"CliBERT_2m_chunked_meanpooler_prepro","","0.4376784015223597","0.4398192197906755"
"BioBERT_chunked_meanpooler_prepro","","0.4058039961941009","0.4136536631779258"
"PubMedBERT_chunked_meanpooler_prepro","","0.3829686013320647","0.3836822074215034"
"RoBERTa_chunked_meanpooler_prepro","","0.3727402473834443","0.3753568030447193"
"PubMedBERT_chunked_meanpooler_prepro","","0.3736917221693626","0.3665556612749762"
"BERT_chunked_meanpooler_prepro","","0.3418173168411037","0.3427687916270219"
"Doc2Vec  prepro","","0.2797335870599429","0.3073263558515699"
"Doc2Vec","","0.2954329210275928","0.30518553758325406"
"SentenceTransformer_all_mpnet-base-v2","","0.2697431018078021","0.280209324452902"
"Doc2vec (full)","","0.2728353948620362","0.2794957183634634"
"CliBERT_2m chunked (full)","","0.2226450999048525","0.2285918173168411"
"CliBERT_2m (full)","","0.16793529971455756","0.16389153187440533"
"CliBERT_1m chunked (full)","","0.17174119885823025","0.1631779257849667"
"BERT chunked nopooler (notes emb only)","","0.15651760228353948","0.15580399619410085"
"SentenceTransformer_stsb-mpnet-base-v2 #5","","0.13986679352997144","0.13748810656517602"
"SentenceTransformer_stsb-mpnet-base-v2","","0.13772597526165556","0.13154138915318744"
"SentenceTransformer_stsb-mpnet-base-v2 #2","","0.14367269267364416","0.13106565176022836"
"CliBERT_1m (full)","","0.12535680304471933","0.1148905803996194"
"SentenceTransformer_stsb-mpnet-base-v2 #3","","0.11346336822074216","0.11227402473834444"
"SentenceTransformer_stsb-mpnet-base-v2 #4","","0.10846812559467174","0.11108468125594673"
"RoBERTa  chunked (full)","","0.10442435775451953","0.10513796384395814"
"BioELECTRA_chunked_meanpooler_prepro","","0.10252140818268315","0.09086584205518554"
"SentenceTransformer_distilbert","","0.0922930542340628","0.08587059942911512"
