"Name","Created","Runtime","GitHub","Notes","Tags","batch_size","dataset_type","lr","model","omit_embeddings","text_embedding_dimension","train_data","train_sz","val_data","val_sz","wandb_notes","warmup","wd","omit_eventsdata","step","train/batch_time","train/data_time","train/loss","train/lr","train/scale","val/image_to_text_R@1","val/image_to_text_R@10","val/image_to_text_R@5","val/image_to_text_mean_rank","val/image_to_text_median_rank","val/num_elements","val/text_to_image_R@1","val/text_to_image_R@10","val/text_to_image_R@5","val/text_to_image_mean_rank","val/text_to_image_median_rank","val/val_loss"
"BioSentVec","2022-03-17T14:12:04.000Z","964","https://github.com/jplasser/CNEP/tree/79b7d62d3a277652498851dbf1701347c545d177","SentVec","45epochs, frozen, fulldata, lstmcnn, overfit, sentence-embedding","128","mimic-emb","0.014142","LSTMCNN-EMB","false","700","./data/mimic3/new_extended_data_unique_embed_s2v.pickle","17397","./data/mimic3/new_test_data_unique_embed_s2v.pickle","4204","SentVec","1500","0.001","","6040","0.035538673400878906","0.0002372264862060547","0.01716422289609909","0.0000019271099616136235","4.605199813842773","0.2466698382492864","0.6546146527117032","0.5273549000951475","30.98905803996194","5","4204","0.25903901046622263","0.6681731684110371","0.5359181731684111","30.141294005708847","5","1.3380388021469116"
"BioSentVec Ablation: chart events & discharge notes","2022-05-17T13:18:40.000Z","918","https://github.com/jplasser/CNEP/tree/ed832ab73cced197b7f15bb29b9d5b920826dcc2","BioSentVec ablation study chart events vs discharge notes","CNEP","128","mimic-emb","0.014142","LSTMCNN-EMB","true","700","/home/thetaphipsi/MasterAI/src/CNEP/src/data/mimic3/new_extended_data_unique_embed_s2v.pickle","17397","/home/thetaphipsi/MasterAI/src/CNEP/src/data/mimic3/new_test_data_unique_embed_s2v.pickle","4204","BioSentVec ablation study chart events vs discharge notes","1500","0.001","","6040","0.03164076805114746","0.0002160072326660156","0.02511800453066826","0.0000019271099616136235","4.605198860168457","0.1845861084681256","0.5406755470980019","0.4196003805899144","53.0535204567079","8","4204","0.19100856327307325","0.5594671741198858","0.43744053282588014","49.600142721217885","8","1.9933487176895144"
"GPT-2","2022-03-18T14:51:01.000Z","983","https://github.com/jplasser/CNEP/tree/79b7d62d3a277652498851dbf1701347c545d177","BioBERT chunked meanpooler prepro","45epochs, frozen, fulldata, lstmcnn, overfit, sentence-embedding","128","mimic-emb","0.014142","LSTMCNN-EMB","false","1280","./data/mimic3/new_extended_data_unique_embed_GPT-2_chunked_meanpooler_prepro.pickle","17397","./data/mimic3/new_test_data_unique_embed_GPT-2_chunked_meanpooler_prepro.pickle","4204","BioBERT chunked meanpooler prepro","1500","0.001","","6040","0.037821292877197266","0.00022602081298828125","0.048870813101530075","0.0000019271099616136235","4.605199813842773","0.1615128449096099","0.5152235965746907","0.3939105613701237","54.389628924833495","10","4204","0.16508087535680305","0.5176022835394862","0.3905803996194101","54.17816365366318","10","2.0243802070617676"
"SentenceTransformer","2022-03-20T20:12:06.000Z","942","https://github.com/jplasser/CNEP/tree/79b7d62d3a277652498851dbf1701347c545d177","SentenceTransformer chunked prepro","BERT","128","mimic-emb","0.014142","LSTMCNN-EMB","false","768","./data/mimic3/new_extended_data_unique_embed_SentenceTransformer_chunked_prepro.pickle","17397","./data/mimic3/new_test_data_unique_embed_SentenceTransformer_chunked_prepro.pickle","4204","SentenceTransformer chunked prepro","1500","0.001","","6040","0.0368189811706543","0.00025653839111328125","0.04454641416668892","0.0000019271099616136235","4.581230163574219","0.13487155090390104","0.43720266412940056","0.327069457659372","76.60061845861085","15","4204","0.12868696479543293","0.4467174119885823","0.3301617507136061","76.38106565176022","14","2.680497407913208"
"CliBERT","2022-03-17T19:03:07.000Z","974","https://github.com/jplasser/CNEP/tree/79b7d62d3a277652498851dbf1701347c545d177","CliBERT 2m chunked prepro","45epochs, frozen, fulldata, lstmcnn, overfit, sentence-embedding","128","mimic-emb","0.014142","LSTMCNN-EMB","false","768","./data/mimic3/new_extended_data_unique_embed_CliBERT_2m_chunked_meanpooler_prepro.pickle","17397","./data/mimic3/new_test_data_unique_embed_CliBERT_2m_chunked_meanpooler_prepro.pickle","4204","CliBERT 2m chunked prepro","1500","0.001","","6040","0.04080653190612793","0.00026416778564453125","0.11088881641626358","0.0000019271099616136235","4.605199813842773","0.11964795432921028","0.4376784015223597","0.3142245480494767","73.38796384395813","14","4204","0.12464319695528069","0.4398192197906755","0.31612749762131304","71.85608943862988","14","2.328953504562378"
"BioSentVec Ablation: no chart events, non-discharge vs discharge notes","2022-05-17T14:15:03.000Z","699","https://github.com/jplasser/CNEP/tree/ed832ab73cced197b7f15bb29b9d5b920826dcc2","BioSentVec ablation study chart events vs discharge notes","CNEP","128","mimic-emb","0.014142","LSTMCNN-EMB","false","700","/home/thetaphipsi/MasterAI/src/CNEP/src/data/mimic3/new_extended_data_unique_embed_s2v.pickle","17397","/home/thetaphipsi/MasterAI/src/CNEP/src/data/mimic3/new_test_data_unique_embed_s2v.pickle","4204","BioSentVec ablation study chart events vs discharge notes","1500","0.001","true","6040","0.009094476699829102","0.0053369998931884766","0.016263432800769806","0.0000019271099616136235","4.605199813842773","0.15080875356803045","0.4157944814462417","0.3313510941960038","191.66127497621312","20","4204","0.15913415794481447","0.41817316841103713","0.3356327307326356","172.53568030447192","19","3.759812116622925"
"BioBERT","2022-03-17T19:55:34.000Z","975","https://github.com/jplasser/CNEP/tree/79b7d62d3a277652498851dbf1701347c545d177","BioBERT chunked meanpooler prepro","45epochs, frozen, fulldata, lstmcnn, overfit, sentence-embedding","128","mimic-emb","0.014142","LSTMCNN-EMB","false","768","./data/mimic3/new_extended_data_unique_embed_BioBERT_chunked_meanpooler_prepro.pickle","17397","./data/mimic3/new_test_data_unique_embed_BioBERT_chunked_meanpooler_prepro.pickle","4204","BioBERT chunked meanpooler prepro","1500","0.001","","6040","0.03610992431640625","0.0002315044403076172","0.11746743321418762","0.0000019271099616136235","4.605199813842773","0.10870599429115128","0.4058039961941009","0.29686013320647003","85.40960989533778","17","4204","0.10252140818268315","0.4136536631779258","0.29352997145575643","87.4210275927688","16","2.4408092498779297"
"PubMedBERT","2022-03-17T17:29:30.000Z","968","https://github.com/jplasser/CNEP/tree/79b7d62d3a277652498851dbf1701347c545d177","PubMedBERT chunked meanpooler prepro","45epochs, frozen, fulldata, lstmcnn, overfit, sentence-embedding","128","mimic-emb","0.014142","LSTMCNN-EMB","false","768","./data/mimic3/new_extended_data_unique_embed_PubMedBERT_chunked_meanpooler_prepro.pickle","17397","./data/mimic3/new_test_data_unique_embed_PubMedBERT_chunked_meanpooler_prepro.pickle","4204","PubMedBERT chunked meanpooler prepro","1500","0.001","","6040","0.03616213798522949","0.0002353191375732422","0.16825801134109497","0.0000019271099616136235","4.605199813842773","0.1022835394862036","0.3829686013320647","0.27783063748810655","96.07040913415794","19","4204","0.09752616555661275","0.3836822074215034","0.2725975261655566","99.06493815413891","19","2.77650785446167"
"RoBERTa","2022-03-20T11:41:26.000Z","935","https://github.com/jplasser/CNEP/tree/79b7d62d3a277652498851dbf1701347c545d177","RoBERTa chunked meanpooler prepro","BERT","128","mimic-emb","0.014142","LSTMCNN-EMB","false","768","./data/mimic3/new_extended_data_unique_embed_RoBERTa_chunked_meanpooler_prepro.pickle","17397","./data/mimic3/new_test_data_unique_embed_RoBERTa_chunked_meanpooler_prepro.pickle","4204","RoBERTa chunked meanpooler prepro","1500","0.001","","6040","0.037142038345336914","0.0002639293670654297","0.22047081589698792","0.0000019271099616136235","4.605199813842773","0.09419600380589914","0.3727402473834443","0.266650808753568","93.63510941960038","20","4204","0.09372026641294004","0.3753568030447193","0.2604662226450999","99.65366317792578","20","2.4625072479248047"
"BERT (baseline)","2022-03-19T12:06:35.000Z","948","https://github.com/jplasser/CNEP/tree/79b7d62d3a277652498851dbf1701347c545d177","BERT chunked meanpooler prepro","45epochs, frozen, fulldata, lstmcnn, overfit, sentence-embedding","128","mimic-emb","0.014142","LSTMCNN-EMB","false","768","./data/mimic3/new_extended_data_unique_embed_BERT_chunked_meanpooler_prepro.pickle","17397","./data/mimic3/new_test_data_unique_embed_BERT_chunked_meanpooler_prepro.pickle","4204","BERT chunked meanpooler prepro","1500","0.001","","6040","0.033893585205078125","0.0002944469451904297","0.17763039469718933","0.0000019271099616136235","4.605199813842773","0.08967649857278782","0.3418173168411037","0.24215033301617508","121.6755470980019","24","4204","0.08444338725023787","0.3427687916270219","0.239058039961941","121.436013320647","25","3.0497868061065674"
